,ratio_speak,mean_nrj,std_nrj,skewness_nrj,kurtosis_nrj
SEQ_028,0.47580645161290325,-1.7094899946965327,0.4223588273280889,-1.4502512910782988,2.04913057342376
SEQ_029,0.4341772151898734,-2.584884944603618,0.5399064033447615,-1.4476199887178574,2.7296541137850285
SEQ_030,0.51010101010101,-2.024221961590364,0.5862218893396459,-0.3180571070424393,-1.1821861066288062
SEQ_031,0.22193211488250653,-2.4609625289878516,0.6023194097749368,-1.2227383780893082,2.03658885790464
SEQ_032,0.5076452599388379,-2.1746024769462347,0.4795480386006537,-0.1693678818834771,-0.11140701315062707
SEQ_033,0.5103448275862069,-2.220386902941958,0.48436568482985715,0.22006583411864492,0.5843774621575726
SEQ_034,0.27137546468401486,-2.3195647889694255,0.6187326021995979,-1.2602353589194655,2.783469340215068
SEQ_035,0.346875,-2.25431933607565,0.4973832523756207,-1.7265098070333713,4.337271246698097
SEQ_036,0.4633333333333333,-2.2575357917818386,0.6039148582872519,-0.7759955910791981,0.9361584798105005
SEQ_037,0.3979848866498741,-2.529664356852259,0.7874693713034833,-1.0085475198947726,1.0827543748325397
SEQ_038,0.4305555555555556,-2.9161415012609924,1.2133277789024277,-0.9421874729452145,-0.36801512433684724
SEQ_039,0.5034965034965035,-2.2229510936141006,0.5369356835447873,0.05116944898261999,-0.6324418843351691
SEQ_040,0.4619289340101523,-1.9648845734929445,0.2963429652127976,-0.7572824087231211,0.7006463564834808
SEQ_041,0.3706293706293706,-2.3799099629912823,0.5500411312413394,-1.369000294291317,2.5332600628384627
SEQ_042,0.45674740484429066,-2.1956413360506426,0.5080650365568439,-0.08743641864987987,-0.36798157428278744
SEQ_043,0.3925399644760213,-2.701249358771798,0.7901321557865849,-0.8965544807399078,0.4921046436117731
SEQ_044,0.5674846625766872,-2.166445096970518,0.6007445223009417,-1.2239274584743367,2.853177651587756
SEQ_045,0.4845814977973568,-1.9659120640480323,0.42594565391642375,-0.9072292208841357,1.3250433483543214
SEQ_046,0.6724137931034483,-1.5335843515626115,0.10818263045719052,-0.47116042531521074,-0.6604927231705942
SEQ_047,0.47435897435897434,-2.3890971287550715,0.7719196473352181,-0.8136470029260117,0.6460829161322503
SEQ_048,0.5492957746478874,-2.2690811523196572,0.845902539430079,-1.0286328741962654,0.32337123624314623
SEQ_049,0.2830687830687831,-2.4999800737788993,0.6205564739270959,-0.5311647887089751,0.32929145237553303
SEQ_050,0.3951612903225806,-2.087999307440794,0.5387516753299495,-2.1808718425965368,7.6136002585135785
SEQ_051,0.5994550408719346,-2.1904757162575765,0.40678019218720385,-1.148134068209586,1.5538680679562917
SEQ_052,0.42323651452282157,-1.9779256130030818,0.3742330776996328,-1.7924482463719476,3.6612362615454224
SEQ_053,0.5071225071225072,-2.374523243605561,0.6305295156727475,-0.3326419510868532,0.2984578422896198
SEQ_054,0.37791601866251945,-2.808439761269378,0.8820079034180669,-1.1151048945766806,0.9462038326682856
SEQ_055,0.4666666666666667,-1.9705900155619627,0.3778960931438747,-1.2608616429938533,2.739523995739016
SEQ_056,0.48,-1.8490862468461733,0.33134179252317786,-1.9699916790970928,4.8705774160643704
SEQ_057,0.3686440677966102,-2.3794613233346764,0.6713063927996695,0.28780308394138526,-0.9844389174932764
SEQ_058,0.5346820809248555,-2.064956080131011,0.3505108496423943,-1.229765476865226,4.603234758725825
SEQ_059,0.6488095238095238,-2.129680156786728,0.3003447005161506,-0.5622851987148464,0.17198905689558552
SEQ_060,0.5614035087719298,-2.1314291128993044,0.5410359320579108,-1.0123411292027498,0.965758941195348
SEQ_061,0.4148936170212766,-2.469834385177434,0.4350102083684174,-1.3139189586730426,4.36869462839578
SEQ_062,0.42447418738049714,-2.408481699381951,0.45534654110399486,-0.922817930113133,1.5220711974104404
SEQ_063,0.4349157733537519,-2.6840335565646605,0.7520880710408002,-0.8307628053998791,0.041908106179932236
SEQ_064,0.32525951557093424,-2.452847821906694,0.5681209997383765,0.22623197141304152,0.5785842524129006
SEQ_065,0.3445378151260504,-2.075046314226138,0.3844137413818423,-2.1924222028215543,5.83558692918886
