Sequence§nmf_0§nmf_1
SEQ_190§0.07879468795889956§0.06540852272589487
SEQ_191§0.005343151216110435§0.10297746896360895
SEQ_192§0.05402222854017845§0.16661409141781264
SEQ_193§0.06538017204304872§0.06156223813507905
SEQ_194§0.09142794314775617§0.10417569659321405
SEQ_195§0.1671562928549041§0.004978927244324718
SEQ_196§0.12171557567231908§0.06360259494574928
SEQ_197§0.09047433491875707§0.08335682738273535
SEQ_198§0.13821288742514234§0.10530215979383593
SEQ_199§0.08694094678555468§0.1319940401785361
SEQ_200§0.04897689471477478§0.1702968802036925
SEQ_201§0.030657178573560324§0.17325789490143975
SEQ_202§0.0§0.28364136168403115
SEQ_203§0.07559859727183234§0.17117052131466592
SEQ_204§0.1085882585721§0.0
SEQ_205§0.05640256123536343§0.09551023185924314
SEQ_206§0.1541659592691233§0.0
SEQ_207§0.0462423941277269§0.159552861790377
SEQ_208§0.0867586674735153§0.13338179224067007
SEQ_209§0.14668318054244536§0.0
SEQ_210§0.03778948632490538§0.144499092047925
SEQ_211§0.1384671627745957§0.005789995849445141
SEQ_212§0.11850137384912574§0.0
SEQ_213§0.012514698123282883§0.18788131847840758
SEQ_214§0.0649377340747648§0.0
SEQ_215§0.10110997821665578§0.0
SEQ_216§0.019672642932573883§0.12235373249762937
SEQ_217§0.14050211970103646§0.027678614070000076
SEQ_218§0.0§0.173642886003971
SEQ_219§0.23298044571482354§0.07406101875584119
SEQ_220§0.03278630138151802§0.20620237907161193
SEQ_221§0.1334769066881592§0.10775729304530877
SEQ_222§0.20068871142622838§0.014583545385699517
SEQ_223§0.17240805409786084§0.0
SEQ_224§0.09944155089650487§0.08252336000032562
SEQ_225§0.15111095433890648§0.0
SEQ_226§0.08757098621218576§0.008501882430859751
SEQ_227§0.145838384091527§0.017006319877396127
SEQ_228§0.14606120428717462§0.0
SEQ_229§0.11169831933939638§0.0
SEQ_230§0.0§0.20875191307783547
SEQ_231§0.12026652418149526§0.0
SEQ_232§0.05210500408671094§0.12717754493346853
SEQ_233§0.12330016916549734§0.04524999821402453
SEQ_234§0.11917850291406211§0.0
SEQ_235§0.11886447379709436§0.13195294959606282
SEQ_236§0.08117662457517161§0.053947348320531795
SEQ_237§0.08918525399546187§0.0
SEQ_238§0.11709503667898938§0.010584529618127158
SEQ_239§0.06462192717094413§0.1398593708021013
SEQ_240§0.22297845153651666§0.0
SEQ_241§0.16545382306369236§0.0717691269713991
SEQ_242§0.13766397454992263§0.009053508647351672
SEQ_243§0.010967682098347304§0.1882276047407143
SEQ_244§0.10197380837660387§0.06599715107422925
SEQ_245§0.05674527438397063§0.044087583943330955
SEQ_246§0.08248651637233662§0.01831658957575499
SEQ_247§0.017527418772880717§0.06414105954862585
SEQ_248§0.10935447429193862§0.03857488542342245
SEQ_249§0.13645436528129734§0.002752011698159228
SEQ_250§0.09610801142211824§0.07745000588044579
SEQ_251§0.10857350978830796§0.0
SEQ_252§0.0751869961296387§0.08358372118289306
SEQ_253§0.12699869072504832§0.025495104025376678
SEQ_254§0.05302650167181299§0.15992315319740366
SEQ_255§0.0866476167455457§0.02883334438931353
SEQ_256§0.017556564343359858§0.14473982206559774
SEQ_257§0.09500810033639943§0.007878503986992675
SEQ_258§0.0§0.2717686813347123
SEQ_259§0.0035283034200033047§0.20162484029650318
SEQ_260§0.04915441959271948§0.13487335049543797
SEQ_261§0.12128986664361315§0.0
SEQ_262§0.11938242361583794§0.03447675786921739
SEQ_263§0.05046463501700941§0.0
SEQ_264§0.06583548769660488§0.043280856635764205
SEQ_265§0.1413840118000247§0.05527584870699062
SEQ_266§0.19326100567671628§0.014736118278171157
SEQ_267§0.0§0.28432841301165673
SEQ_268§0.04564187760456339§0.2076234106581638
SEQ_269§0.09952895688451528§0.0
SEQ_270§0.13461353837204984§0.11837798664605619
SEQ_271§0.13405342132416195§0.07222414483621409
SEQ_272§0.18714227966603467§0.03328476423810679
SEQ_273§0.0758790733454691§0.03306037895609524
SEQ_274§0.08646988266673404§0.11483925163557271
SEQ_275§0.17329318936843496§0.03506710351175606
SEQ_276§0.10832750334586087§0.0
SEQ_277§0.17869050853980106§0.0
SEQ_278§0.18175243700438565§0.0
SEQ_279§0.0§0.3305300588642119
SEQ_280§0.03599048766702321§0.08386001591638904
SEQ_281§0.09916030689471911§0.0
SEQ_282§0.10842758274443566§0.07431236295131868
SEQ_283§0.06381325053085207§0.11534787372878753
SEQ_284§0.03653862978383129§0.1626281112416502
SEQ_285§0.12428411555507335§0.0
SEQ_286§0.0§0.19753449213008403
SEQ_287§0.08624661790747744§0.10119681336836193
SEQ_288§0.0§0.1904126590841253
SEQ_289§0.1361482221554131§0.04543226209997833
SEQ_290§0.17660836538805647§0.029717273451559046
SEQ_291§0.0§0.21594216995648352
SEQ_292§0.1386058458176648§0.0
SEQ_293§0.1792886749995033§0.029532967580089185
SEQ_294§0.08659918464605258§0.0
SEQ_295§0.18733425405972845§0.0
SEQ_296§0.0001113628676574238§0.12313088202583852
SEQ_297§0.169300633698726§0.0059940842254594656
SEQ_298§0.09626617024675682§0.0
SEQ_299§0.114048701045314§0.0
SEQ_300§0.11872119252173122§0.0
SEQ_301§0.11882091376044505§0.0
SEQ_302§0.03479535387670088§0.13015525737275646
SEQ_303§0.019383448905437542§0.23503894193554298
SEQ_304§0.07733028303072721§0.002201677082570581
SEQ_305§0.12644738888763976§0.0077714798345232304
SEQ_306§0.04680275908605067§0.036242317601582884
SEQ_307§0.0951494158307661§0.0
SEQ_308§0.09679426452869921§0.0
