Sequence§LDA_0§LDA_1
SEQ_101§0.919615345320541§0.08038465467945886
SEQ_102§0.9058155872197837§0.09418441278021628
SEQ_103§0.9204368748213962§0.07956312517860377
SEQ_104§0.91408049853278§0.08591950146722009
SEQ_105§0.9161286774179842§0.08387132258201589
SEQ_106§0.8983558934260566§0.10164410657394332
SEQ_107§0.9281208630003905§0.07187913699960938
SEQ_108§0.9189856333028399§0.08101436669715997
SEQ_109§0.8984299838891869§0.10157001611081307
SEQ_110§0.6272367342328646§0.3727632657671354
SEQ_111§0.9052606759608863§0.09473932403911366
SEQ_112§0.9115497312733095§0.08845026872669046
SEQ_113§0.8914859350910125§0.1085140649089875
SEQ_114§0.903303298893315§0.09669670110668506
SEQ_115§0.891147602890499§0.10885239710950104
SEQ_116§0.9336468024963067§0.0663531975036933
SEQ_117§0.8608404837209104§0.13915951627908976
SEQ_118§0.9149241055300217§0.08507589446997835
SEQ_119§0.892624730904943§0.10737526909505697
SEQ_120§0.8863193377161493§0.11368066228385061
SEQ_121§0.838349847256742§0.1616501527432579
SEQ_122§0.9327029555579973§0.06729704444200271
SEQ_123§0.9311557410417014§0.06884425895829846
SEQ_124§0.7323747688294684§0.26762523117053166
SEQ_125§0.8307111251554757§0.16928887484452418
SEQ_126§0.6594323089288949§0.34056769107110507
SEQ_127§0.8966191743262898§0.10338082567371025
SEQ_128§0.8853804936547758§0.11461950634522428
SEQ_129§0.5355200590440612§0.4644799409559388
SEQ_130§0.8919162881746985§0.10808371182530156
SEQ_131§0.8941131956515616§0.10588680434843842
SEQ_132§0.8556653986198882§0.14433460138011175
SEQ_133§0.8439667115569509§0.15603328844304906
SEQ_134§0.9383810165978522§0.06161898340214785
SEQ_135§0.7252021819803535§0.27479781801964653
SEQ_136§0.9046813410742761§0.09531865892572393
SEQ_137§0.9225436041545002§0.07745639584549983
SEQ_138§0.9327262641862877§0.06727373581371224
SEQ_139§0.8849771157318672§0.11502288426813276
SEQ_140§0.8962173734831503§0.10378262651684976
SEQ_141§0.9131154022294645§0.08688459777053545
SEQ_142§0.9131581197067344§0.08684188029326559
SEQ_143§0.9162241471249436§0.08377585287505639
SEQ_144§0.8994076158307861§0.100592384169214
SEQ_145§0.8983784176492045§0.10162158235079555
SEQ_146§0.9194400862284299§0.0805599137715702
SEQ_147§0.9021990310119312§0.09780096898806881
SEQ_148§0.9097971189668247§0.09020288103317539
SEQ_149§0.6354340928540673§0.3645659071459327
SEQ_150§0.6667660156960123§0.33323398430398765
SEQ_151§0.9123224638430514§0.08767753615694865
SEQ_152§0.8785212617928047§0.12147873820719524
SEQ_153§0.8958352343803611§0.10416476561963885
SEQ_154§0.8969897504466712§0.10301024955332895
SEQ_155§0.9064731948329693§0.09352680516703064
SEQ_156§0.8957726755279§0.10422732447210016
SEQ_157§0.9238406836329377§0.0761593163670623
SEQ_158§0.8931167447817033§0.10688325521829663
SEQ_159§0.9145446432930502§0.08545535670694974
SEQ_160§0.8661323480260386§0.1338676519739614
SEQ_161§0.9195018906515514§0.0804981093484485
SEQ_162§0.895117814057075§0.10488218594292503
SEQ_163§0.8862843521571738§0.11371564784282621
SEQ_164§0.8968100628924676§0.1031899371075325
SEQ_165§0.9066402754252778§0.09335972457472226
SEQ_166§0.9300906692783895§0.06990933072161061
SEQ_167§0.9101182250429126§0.08988177495708731
SEQ_168§0.9049260012133751§0.09507399878662494
SEQ_169§0.44647547399665644§0.5535245260033435
SEQ_170§0.914220299148808§0.08577970085119208
SEQ_171§0.8781085635331981§0.12189143646680187
SEQ_172§0.887495838353168§0.11250416164683198
SEQ_173§0.8300047233851678§0.1699952766148322
SEQ_174§0.8961388568235819§0.10386114317641816
SEQ_175§0.9112037732766045§0.08879622672339547
SEQ_176§0.9074540865452252§0.09254591345477485
SEQ_177§0.9073168510980493§0.09268314890195081
SEQ_178§0.3361010425294832§0.6638989574705167
SEQ_179§0.8715974784154478§0.1284025215845522
SEQ_180§0.8837999977882316§0.11620000221176842
SEQ_181§0.8987765847163367§0.10122341528366334
SEQ_182§0.9053283889100173§0.09467161108998272
SEQ_183§0.9014385864005873§0.09856141359941274
SEQ_184§0.9036514025988307§0.09634859740116929
SEQ_185§0.6631490971167745§0.3368509028832255
SEQ_186§0.9139741291531958§0.08602587084680424
SEQ_187§0.9263927153777134§0.07360728462228658
SEQ_188§0.9206367236235083§0.07936327637649163
SEQ_189§0.5314102145407855§0.4685897854592144
SEQ_190§0.7338105490049784§0.2661894509950216
SEQ_191§0.18377464335169513§0.8162253566483049
SEQ_192§0.9168265024217751§0.0831734975782248
SEQ_193§0.9122263495488983§0.08777365045110175
SEQ_194§0.9148014595721213§0.08519854042787875
SEQ_195§0.9180866758777221§0.08191332412227782
SEQ_196§0.8845524072156464§0.11544759278435356
SEQ_197§0.8986884674614342§0.10131153253856585
SEQ_198§0.9205890366791946§0.07941096332080534
SEQ_199§0.8363476936732177§0.1636523063267824
SEQ_200§0.6375392828708358§0.36246071712916417
SEQ_201§0.9004554329791384§0.09954456702086158
SEQ_202§0.90714383493664§0.09285616506336009
SEQ_203§0.9136767416627649§0.08632325833723511
SEQ_204§0.9064734940204807§0.09352650597951923
SEQ_205§0.8078437740361688§0.19215622596383122
SEQ_206§0.8997825941288126§0.10021740587118746
SEQ_207§0.9145650782213424§0.08543492177865762
SEQ_208§0.9203760864748387§0.07962391352516131
SEQ_209§0.6712594296513217§0.3287405703486784
SEQ_210§0.9144701542564201§0.08552984574357995
SEQ_211§0.9145803343088929§0.0854196656911071
SEQ_212§0.9056983614038566§0.0943016385961434
SEQ_213§0.8956143409004789§0.10438565909952105
SEQ_214§0.7494639240269244§0.25053607597307553
SEQ_215§0.6535237448263318§0.34647625517366826
SEQ_216§0.9000228762791597§0.09997712372084024
SEQ_217§0.9146263025157038§0.08537369748429628
SEQ_218§0.28223074389847275§0.7177692561015273
SEQ_219§0.9455549444171403§0.05444505558285967
SEQ_220§0.882042467065411§0.11795753293458901
SEQ_221§0.930089563665257§0.06991043633474305
SEQ_222§0.9436349703646683§0.05636502963533179
SEQ_223§0.6993076001320853§0.3006923998679148
SEQ_224§0.9287018966928203§0.0712981033071797
SEQ_225§0.9188590006689547§0.08114099933104538
SEQ_226§0.6950055738078093§0.30499442619219075
SEQ_227§0.8036509422599138§0.19634905774008618
SEQ_228§0.8265785133894908§0.17342148661050918
SEQ_229§0.8743565912369101§0.1256434087630898
SEQ_230§0.8976608259425818§0.1023391740574183
SEQ_231§0.9096029901488629§0.09039700985113709
SEQ_232§0.9042799110246799§0.09572008897532008
SEQ_233§0.5838136746687318§0.41618632533126815
SEQ_234§0.5477725208754257§0.4522274791245742
SEQ_235§0.9212927853714267§0.07870721462857332
SEQ_236§0.881889928838112§0.11811007116188786
SEQ_237§0.8827233717369157§0.11727662826308437
SEQ_238§0.7889564443732237§0.2110435556267763
SEQ_239§0.9136960548101006§0.08630394518989935
SEQ_240§0.9177460034478645§0.08225399655213536
SEQ_241§0.9314942124045906§0.06850578759540937
SEQ_242§0.5547926333234102§0.4452073666765898
SEQ_243§0.8959510037427357§0.10404899625726433
SEQ_244§0.9089947209575846§0.09100527904241539
SEQ_245§0.8904710050590903§0.10952899494090967
SEQ_246§0.8825031875225481§0.11749681247745186
SEQ_247§0.8921264877507635§0.10787351224923643
SEQ_248§0.9205674961617613§0.07943250383823877
SEQ_249§0.9031522187329946§0.09684778126700552
SEQ_250§0.8922534945487225§0.10774650545127741
SEQ_251§0.8769641610545161§0.12303583894548384
SEQ_252§0.8757800683224062§0.1242199316775938
SEQ_253§0.7272810697326972§0.2727189302673027
SEQ_254§0.5448753550889563§0.45512464491104365
SEQ_255§0.9097636077721653§0.09023639222783478
SEQ_256§0.907241311474585§0.09275868852541495
SEQ_257§0.8775544967028495§0.12244550329715057
SEQ_258§0.9184673794594952§0.08153262054050478
SEQ_259§0.8718869832910647§0.12811301670893527
SEQ_260§0.8154459756160858§0.1845540243839142
SEQ_261§0.9042473348776451§0.0957526651223549
SEQ_262§0.9063124525018168§0.0936875474981833
SEQ_263§0.17230629363992742§0.8276937063600727
SEQ_264§0.2843152855910453§0.7156847144089546
SEQ_265§0.9291594049155786§0.07084059508442136
SEQ_266§0.9241180964955643§0.07588190350443567
SEQ_267§0.8985950379021853§0.10140496209781469
SEQ_268§0.9147451980046022§0.08525480199539782
SEQ_269§0.8913516860356121§0.10864831396438784
SEQ_270§0.9199365462319843§0.08006345376801574
SEQ_271§0.8995381501587809§0.10046184984121909
SEQ_272§0.9304391915811185§0.06956080841888142
SEQ_273§0.8953017008947183§0.10469829910528167
SEQ_274§0.6368412581799221§0.36315874182007796
SEQ_275§0.9194340796916903§0.0805659203083097
SEQ_276§0.8942651555727056§0.10573484442729446
SEQ_277§0.770211073347099§0.22978892665290096
SEQ_278§0.9215683697268433§0.0784316302731567
SEQ_279§0.9014248025191577§0.09857519748084234
SEQ_280§0.6654383382860994§0.33456166171390056
SEQ_281§0.511868946851422§0.488131053148578
SEQ_282§0.9210192195989397§0.07898078040106031
SEQ_283§0.9035271129109375§0.09647288708906251
SEQ_284§0.902077136827323§0.09792286317267704
SEQ_285§0.8575022199969106§0.14249778000308955
SEQ_286§0.8724713273512249§0.1275286726487751
SEQ_287§0.7200280270139912§0.2799719729860088
SEQ_288§0.7893073122410104§0.21069268775898956
SEQ_289§0.9090633011236602§0.09093669887633977
SEQ_290§0.9328088011477307§0.06719119885226928
SEQ_291§0.5491116472232347§0.4508883527767653
SEQ_292§0.8987030957895559§0.10129690421044406
SEQ_293§0.9331949542579636§0.06680504574203641
SEQ_294§0.8807044142309217§0.11929558576907814
SEQ_295§0.9101252294876011§0.08987477051239882
SEQ_296§0.24513305947597663§0.7548669405240234
SEQ_297§0.9267537353466009§0.0732462646533991
SEQ_298§0.8787558884123787§0.12124411158762134
SEQ_299§0.5411353502216617§0.45886464977833835
SEQ_300§0.8254404042273444§0.1745595957726556
SEQ_301§0.8882908835797982§0.11170911642020176
SEQ_302§0.47839594297706184§0.5216040570229381
SEQ_303§0.8113590529666901§0.1886409470333099
SEQ_304§0.4447175256745253§0.5552824743254746
SEQ_305§0.9123852801216648§0.08761471987833525
SEQ_306§0.25535576925204645§0.7446442307479536
SEQ_307§0.8084163731106896§0.19158362688931033
SEQ_308§0.8963153104247386§0.1036846895752614
